Name,Platform,Genre,Rating,Critic_Score,Critic_Count,User_Score,User_Count,NA_Sales
Feel the Magic XY/XX,DS,Puzzle,T,75,55,80,18,0.17
Majin and the Forsaken Kingdom,PS3,Adventure,T,72,49,78,35,0.09
Dragon Ball Z: Budokai Tenkaichi 2,Wii,Fighting,T,72,37,84,40,0.24
Haven: Call of the King,PS2,Platform,T,69,26,68,15,0.14
Street Hoops,XB,Sports,T,58,22,79,4,0.21
R: Racing Evolution,PS2,Racing,T,66,35,61,5,0.14
Hatsune Miku: Project Diva f,PS3,Misc,T,73,10,83,108,0.08
Marvel Nemesis: Rise of the Imperfects,XB,Fighting,T,58,34,74,20,0.21
Viewtiful Joe,PS2,Action,T,90,34,84,35,0.14
DeathSmiles,X360,Shooter,T,76,29,83,47,0.15
Fable: The Journey,X360,Role-Playing,T,61,70,47,80,0.18
Bladestorm: The Hundred Years' War,PS3,Action,T,58,23,78,28,0.1
Chromehounds,X360,Simulation,T,71,60,69,72,0.24
Kung Fu Chaos,XB,Fighting,T,68,41,84,27,0.21
Pirates of the Caribbean: Dead Man's Chest,PSP,Adventure,T,52,34,79,17,0.25
Transformers: Dark of the Moon,X360,Action,T,59,53,66,30,0.13
Assassin's Creed II: Discovery,DS,Action,T,69,20,72,22,0.15
Syphon Filter: Dark Mirror,PS2,Shooter,T,70,24,77,12,0.14
Mission: Impossible - Operation Surma,PS2,Platform,T,64,30,77,10,0.14
Guitar Hero: Van Halen,Wii,Misc,T,50,12,51,6,0.13
Dead or Alive,PS,Fighting,T,84,10,85,18,0.09
Wild ARMs 5,PS2,Role-Playing,T,71,26,74,22,0.14
El Shaddai: Ascension of the Metatron,PS3,Action,T,78,46,74,40,0.11
Kenka Bancho: Badass Rumble,PSP,Action,T,70,21,74,6,0.06
Mister Mosquito,PS2,Shooter,T,65,23,48,11,0.05
Virtua Fighter 5 Online,X360,Fighting,T,89,36,75,62,0.2
Indiana Jones and the Staff of Kings,PS2,Action,T,55,4,74,13,0.11
Dave Mirra Freestyle BMX 2,GC,Sports,T,78,15,76,10,0.21
One Piece: Unlimited World Red,PS3,Action,T,71,28,72,46,0.09
Summer Heat Beach Volleyball,PS2,Sports,T,65,21,76,19,0.14
Castlevania: Aria of Sorrow,GBA,Platform,T,91,29,90,127,0.2
Guitar Hero: Van Halen,PS3,Misc,T,59,33,46,9,0.14
Dragon Ball Z: Budokai 2,GC,Fighting,T,66,9,57,12,0.21
Rock Revolution,X360,Misc,T,38,28,50,17,0.25
WWII Aces,Wii,Simulation,T,41,7,53,18,0.25
Pro Race Driver,PS2,Racing,T,81,22,84,20,0.13
Baten Kaitos: Eternal Wings and the Lost Ocean,GC,Role-Playing,T,80,48,89,59,0.21
Iron Man 2,X360,Action,T,41,35,58,54,0.15
Disgaea 3: Absence of Detention,PSV,Role-Playing,T,78,28,75,116,0.11
Rocky: Legends,PS2,Action,T,65,24,85,12,0.13
Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,Role-Playing,T,67,21,83,20,0.13
Lightning Returns: Final Fantasy XIII,X360,Role-Playing,T,69,21,65,222,0.15
Transformers: Cybertron Adventures,Wii,Action,T,41,15,64,8,0.14
Stuntman: Ignition,PS2,Racing,T,71,8,63,8,0.13
Fantastic 4,XB,Action,T,62,46,65,8,0.2
Batman: Arkham Origins Blackgate,3DS,Action,T,68,7,67,38,0.16
R.U.S.E.,PC,Strategy,T,76,33,80,176,0.04
Rock Revolution,PS3,Misc,T,42,20,65,12,0.25
The Sims 2: Pets,GC,Simulation,T,66,15,72,8,0.21
Tropico 4,PC,Strategy,T,78,46,76,359,0.1
Jurassic Park: Operation Genesis,PS2,Simulation,T,75,13,88,21,0.13
Knockout Kings 2002,XB,Sports,T,78,20,78,7,0.2
InuYasha: Feudal Combat,PS2,Fighting,T,52,14,82,21,0.13
R.U.S.E.,X360,Strategy,T,78,45,69,38,0.12
Section 8,X360,Shooter,T,69,49,72,59,0.15
Lowrider,PS2,Misc,T,46,14,83,11,0.11
Batman: Return to Arkham,PS4,Action,T,73,28,84,79,0.07
The Incredible Hulk,X360,Action,T,55,42,63,24,0.22
Panzer Dragoon Orta,XB,Shooter,T,90,41,84,64,0.16
Superman Returns,X360,Action,T,51,48,61,49,0.23
Shin Megami Tensei: Devil Survivor,DS,Role-Playing,T,84,28,87,79,0.13
The Incredible Hulk,PS3,Action,T,55,26,67,20,0.22
Dragon Ball Z: Tenkaichi Tag Team,PSP,Fighting,T,63,22,85,20,0.11
Etrian Odyssey Untold: The Millennium Girl,3DS,Role-Playing,T,80,41,81,89,0.1
Star Wars: Bounty Hunter,GC,Shooter,T,67,20,75,16,0.2
Dynasty Warriors 7: Xtreme Legends,PS3,Action,T,64,11,77,9,0.04
Naruto: Ultimate Ninja Heroes,PSP,Fighting,T,70,11,65,11,0.26
WWE 2K17,XOne,Sports,T,68,12,54,27,0.12
Battlestations: Midway,X360,Strategy,T,73,55,70,40,0.21
Armored Core: Nexus,PS2,Simulation,T,73,19,86,7,0.06
Evolution Skateboarding,PS2,Sports,T,44,14,66,9,0.13
Batman: Vengeance,GC,Adventure,T,70,17,57,16,0.2
Spider-Man: Web of Shadows,PS3,Action,T,67,44,78,34,0.2
Legaia 2: Duel Saga,PS2,Role-Playing,T,67,21,83,43,0.13
Oddworld: Stranger's Wrath,XB,Adventure,T,88,65,90,58,0.19
King of Fighters: Maximum Impact,PS2,Fighting,T,64,45,68,12,0.13
Atelier Ayesha: The Alchemist of Dusk,PS3,Role-Playing,T,70,17,65,120,0.06
Battleborn,PS4,Shooter,T,68,55,67,402,0.12
Peter Jackson's King Kong: The Official Game of the Movie,X360,Action,T,80,57,74,79,0.2
Castlevania: Harmony of Dissonance,GBA,Platform,T,87,27,81,39,0.16
Pirates of the Caribbean: Dead Man's Chest,DS,Adventure,T,63,11,85,7,0.23
Baldur's Gate: Dark Alliance II,XB,Role-Playing,T,77,44,78,16,0.19
Super Street Fighter II: Turbo Revival,GBA,Fighting,T,84,17,73,10,0.18
Secret Weapons Over Normandy,XB,Simulation,T,77,31,87,4,0.19
Juiced 2: Hot Import Nights,PS3,Racing,T,71,10,63,5,0.18
Medal of Honor European Assault,GC,Shooter,T,71,22,78,14,0.19
Prison Break: The Conspiracy,PS3,Action,T,42,33,37,20,0.05
Ultimate Fighting Championship,PS,Fighting,T,53,6,73,16,0.14
Hatsune Miku: Project Diva F 2nd,PS3,Misc,T,78,15,85,49,0.09
The Mummy: Tomb of the Dragon Emperor,PS2,Action,T,38,7,67,6,0.12
Def Jam Vendetta,GC,Fighting,T,81,22,84,8,0.19
The Sims 2,XB,Simulation,T,75,31,70,8,0.19
Spider-Man: Web of Shadows,Wii,Action,T,63,20,68,13,0.22
Tony Hawk's Proving Ground,Wii,Sports,T,57,8,61,19,0.22
Indiana Jones and the Staff of Kings,PSP,Action,T,63,10,77,17,0.11
Don King Presents: Prizefighter,X360,Sports,T,56,45,63,29,0.14
Devil Kings,PS2,Action,T,64,27,73,12,0.03
Spider-Man: Edge of Time,X360,Action,T,57,50,67,33,0.18
Dynasty Warriors 6,PS2,Action,T,43,7,53,14,0.12
America's Army: Rise of a Soldier,XB,Shooter,T,70,19,73,21,0.19
Pirates of the Caribbean: The Legend of Jack Sparrow,PS2,Adventure,T,51,32,74,13,0.12
Armored Core 4,X360,Simulation,T,65,31,71,31,0.19
Indiana Jones and the Staff of Kings,DS,Action,T,50,5,67,11,0.16
X-Men Origins: Wolverine,Wii,Action,T,53,8,60,10,0.19
Disgaea 2: Dark Hero Days,PSP,Role-Playing,T,83,33,70,47,0.1
Final Fantasy XI: Chains of Promathia,PS2,Role-Playing,T,77,13,79,10,0.12
X-Men Legends II: Rise of Apocalypse,GC,Role-Playing,T,82,34,61,26,0.19
Sword Art Online: Lost Song,PS4,Role-Playing,T,63,32,62,60,0.1
Stella Glow,3DS,Role-Playing,T,79,32,86,82,0.16
Army Men: Sarge's Heroes 2,PS,Shooter,T,48,8,72,7,0.14
Ys: Memories of Celceta,PSV,Action,T,82,56,87,237,0.1
Vexx,PS2,Platform,T,63,20,75,11,0.12
Samurai Warriors 4,PS4,Action,T,76,31,80,74,0.08
Ace Combat: Assault Horizon Legacy,3DS,Simulation,T,71,37,77,26,0.1
Dynasty Warriors Next,PSV,Action,T,67,35,74,73,0.05
Turning Point: Fall of Liberty,PS3,Shooter,T,42,28,54,33,0.21
Kill.Switch,XB,Shooter,T,75,26,79,7,0.18
Lunar: Silver Star Harmony,PSP,Role-Playing,T,80,26,76,47,0.19
Peter Jackson's King Kong: The Official Game of the Movie,GC,Action,T,81,30,82,8,0.19
The Simpsons: Road Rage,GC,Racing,T,67,16,76,12,0.19
Dynasty Warriors 7,X360,Action,T,58,22,79,46,0.16
Total War: Attila,PC,Strategy,T,80,66,72,520,0.09
Azurik: Rise of Perathia,XB,Action,T,52,26,84,14,0.18
Dragon Ball Z: Sagas,XB,Fighting,T,51,11,60,8,0.18
AC/DC LIVE: Rock Band Track Pack,PS3,Misc,T,60,12,52,14,0.21
Asura's Wrath,X360,Action,T,71,54,64,131,0.15
Fantastic 4,GC,Action,T,61,32,39,6,0.19
Luminous Arc,DS,Role-Playing,T,70,25,69,24,0.16
Dreamcast Collection,X360,Misc,T,53,31,51,10,0.16
Spider-Man: Shattered Dimensions,Wii,Action,T,75,13,76,15,0.12
Ghost Rider,PSP,Action,T,49,17,56,13,0.22
Shadow Hearts: Covenant,PS2,Role-Playing,T,85,49,90,54,0.12
X-Men: Destiny,PS3,Action,T,50,33,47,37,0.14
Dynasty Warriors 6 Empires,X360,Action,T,59,24,72,28,0.16
G.I. Joe: The Rise of Cobra,X360,Action,T,42,59,46,22,0.17
X-Men: Destiny,X360,Action,T,47,51,49,72,0.18
Broken Sword: Shadow of the Templars - The Director's Cut,Wii,Adventure,T,74,29,80,14,0.11
Birds of Steel,PS3,Simulation,T,73,27,83,18,0.1
DC Universe Online,PC,Role-Playing,T,72,27,67,243,0.16
Prince of Persia: The Forgotten Sands,Wii,Action,T,77,24,80,31,0.1
Buffy the Vampire Slayer,XB,Action,T,79,30,90,31,0.18
Sands of Destruction,DS,Role-Playing,T,63,20,78,18,0.09
Test Drive: Eve of Destruction,PS2,Racing,T,73,34,90,23,0.11
The Legend of Heroes: Trails of Cold Steel,PSV,Role-Playing,T,77,20,74,132,0.05
Jeremy McGrath Supercross World,PS2,Racing,T,35,9,33,16,0.11
The Scorpion King: Rise of the Akkadian,PS2,Action,T,47,12,71,6,0.11
Star Wars Jedi Knight II: Jedi Outcast,GC,Shooter,T,75,17,77,19,0.18
Tom Clancy's Splinter Cell,GC,Action,T,89,19,86,25,0.18
The Incredible Hulk: Ultimate Destruction,XB,Action,T,84,47,79,22,0.17
Gundam Battle Assault,PS,Fighting,T,61,4,77,4,0.13
XCOM 2,PC,Strategy,T,88,104,70,1221,0.09
Cross Edge,PS3,Role-Playing,T,52,32,71,82,0.14
The Lord of the Rings: Aragorn's Quest,Wii,Action,T,58,21,77,5,0.17
Tribes: Aerial Assault,PS2,Shooter,T,73,23,87,47,0.11
Dynasty Warriors: Strikeforce,X360,Action,T,59,18,56,12,0.13
Airblade,PS2,Sports,T,70,18,57,12,0.11
The Italian Job,PS2,Racing,T,55,18,62,4,0.11
Freedom Fighters,XB,Shooter,T,82,23,81,23,0.17
Final Fantasy XI: Treasures of Aht Urhgan,PS2,Role-Playing,T,87,4,70,13,0.06
WWE All Stars,3DS,Fighting,T,71,12,73,7,0.15
Alundra,PS,Role-Playing,T,86,9,89,41,0.13
Transformers: Devastation,PS4,Action,T,77,50,74,160,0.1
BlowOut,PS2,Shooter,T,58,12,61,5,0.11
Disgaea: Afternoon of Darkness,PSP,Role-Playing,T,87,37,81,69,0.15
Toukiden Kiwami,PSV,Action,T,82,5,85,42,0.02
Ys Seven,PSP,Role-Playing,T,79,27,84,65,0.14
AC/DC LIVE: Rock Band Track Pack,X360,Misc,T,63,16,48,10,0.21
Justice League Heroes,PSP,Role-Playing,T,72,13,77,5,0.2
Skies of Arcadia Legends,GC,Role-Playing,T,84,31,91,95,0.17
Spider-Man: Edge of Time,PS3,Action,T,58,43,71,29,0.13
Spirit Camera: The Cursed Memoir,3DS,Adventure,T,54,35,60,28,0.13
Galactic Wrestling: Featuring Ultimate Muscle,PS2,Fighting,T,61,12,79,5,0.03
FaceBreaker K.O. Party,Wii,Fighting,T,61,15,55,7,0.19
Luminous Arc 2,DS,Role-Playing,T,73,19,76,14,0.2
Shinobi,3DS,Platform,T,69,33,72,33,0.14
The Lord of the Rings: The Third Age,GBA,Role-Playing,T,67,7,84,12,0.16
The Sims 4: Get Together,PC,Simulation,T,72,16,72,117,0.05
Viewtiful Joe 2,GC,Action,T,86,39,82,19,0.17
Magna Carta: Tears of Blood,PS2,Role-Playing,T,66,34,69,22,0.11
Aliens vs Predator: Requiem,PSP,Action,T,49,34,55,19,0.03
From Russia With Love,GC,Action,T,70,20,84,13,0.17
Guitar Hero: Smash Hits,PS2,Misc,T,69,6,82,6,0.11
Shin Megami Tensei: Persona,PSP,Role-Playing,T,78,30,79,47,0.08
Growlanser: Heritage of War,PS2,Role-Playing,T,60,7,78,9,0.11
Tropico 3,X360,Strategy,T,75,33,65,22,0.15
Deadly Creatures,Wii,Action,T,72,45,87,36,0.08
Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,Fighting,T,62,11,72,44,0.14
Full Auto,X360,Shooter,T,70,63,77,36,0.19
Over G Fighters,X360,Simulation,T,49,36,59,49,0.19
Star Wars: The Force Unleashed II,DS,Action,T,43,5,39,5,0.17
Crash 'N' Burn,PS2,Racing,T,63,17,79,7,0.11
Disaster Report,PS2,Action,T,66,28,79,7,0.03
Armored Core V,X360,Simulation,T,68,37,71,37,0.13
The Bard's Tale,PS2,Role-Playing,T,76,44,85,14,0.1
Yu Yu Hakusho: Dark Tournament,PS2,Fighting,T,56,15,84,18,0.1
Conflict Zone,PS2,Strategy,T,47,7,73,8,0.1
Code Name: S.T.E.A.M.,3DS,Strategy,T,69,69,76,125,0.14
Star Wars: Battlefront,PC,Shooter,T,72,19,34,1509,0.07
World Poker Tour,PS2,Misc,T,60,17,85,5,0.1
Viewtiful Joe 2,PS2,Action,T,85,29,76,17,0.1
Robotech: Battlecry,XB,Shooter,T,74,22,69,10,0.16
Dragon Ball: Fusions,3DS,Role-Playing,T,68,12,75,16,0.02
Disgaea D2: A Brighter Darkness,PS3,Role-Playing,T,74,37,80,61,0.09
Maximo vs Army of Zin,PS2,Platform,T,83,46,77,13,0.1
Summoner 2,PS2,Role-Playing,T,76,20,82,22,0.1
Shadow of Destiny,PS2,Adventure,T,78,18,81,19,0.09
Ninja Gaiden: Dragon Sword,DS,Action,T,83,52,77,36,0.16
Cabela's Deer Hunt: 2004 Season,XB,Sports,T,65,5,83,16,0.16
Heroes of Ruin,3DS,Role-Playing,T,69,53,73,50,0.13
G.I. Joe: The Rise of Cobra,PS3,Action,T,43,32,47,13,0.11
UFC Undisputed 2010,PSP,Fighting,T,74,27,69,13,0.11
Batman Begins,XB,Action,T,65,56,70,21,0.16
JSRF: Jet Set Radio Future,XB,Action,T,88,36,81,102,0.13
ESPN Winter X Games: Snowboarding 2002,PS2,Sports,T,64,14,78,8,0.1
Project: Snowblind,PS2,Action,T,78,54,82,23,0.1
Prison Break: The Conspiracy,X360,Action,T,40,37,46,19,0.07
You Don't Know Jack,Wii,Misc,T,81,5,76,6,0.19
The Last Airbender,Wii,Action,T,53,4,65,5,0.12
StokEd,X360,Sports,T,68,34,85,19,0.18
You Don't Know Jack,X360,Misc,T,82,23,78,29,0.19
Tony Hawk's Pro Skater 5,PS4,Sports,T,32,43,14,427,0.09
Dragon Ball Z: Sagas,GC,Fighting,T,48,11,65,11,0.16
X2: Wolverine's Revenge,XB,Platform,T,58,27,63,9,0.15
Lost Planet 3,PS3,Shooter,T,61,30,54,102,0.07
Capcom Fighting Evolution,PS2,Fighting,T,57,33,47,5,0.1
Mobile Suit Gundam: Crossfire,PS3,Simulation,T,33,31,50,47,0.06
Suikoden Tactics,PS2,Strategy,T,68,31,85,17,0.06
Crazy Taxi 3: High Roller,XB,Racing,T,69,33,84,13,0.14
The King of Fighters Collection: The Orochi Saga,PS2,Fighting,T,67,14,84,4,0.1
The Con,PSP,Fighting,T,63,37,72,16,0.18
Enchanted Arms,PS3,Role-Playing,T,64,23,58,40,0.17
The Witch and the Hundred Knight,PS3,Role-Playing,T,53,44,74,80,0.07
Code of Princess,3DS,Action,T,67,38,75,73,0.16
DarkStar One: Broken Alliance,X360,Simulation,T,63,33,71,19,0.11
Dragon Ball: Xenoverse 2,XOne,Action,T,73,8,72,29,0.11
Odin Sphere: Leifthrasir,PS4,Role-Playing,T,87,49,81,178,0.07
Warriors Orochi,PSP,Action,T,62,13,65,10,0.02
Infinite Space,DS,Role-Playing,T,75,46,89,61,0.06
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",XB,Action,T,72,31,59,6,0.15
The Legend of Heroes: Trails of Cold Steel,PS3,Role-Playing,T,86,12,76,128,0.05
Tekken 3D: Prime Edition,3DS,Fighting,T,64,42,58,39,0.06
Front Mission Evolved,X360,Shooter,T,58,52,60,24,0.1
From Russia With Love,XB,Action,T,71,34,87,12,0.15
Apache: Air Assault,PS3,Simulation,T,66,17,60,12,0.11
Record of Agarest War,X360,Role-Playing,T,71,7,69,35,0.18
Gladius,PS2,Strategy,T,78,27,79,22,0.1
Earth Defense Force: Insect Armageddon,PS3,Shooter,T,63,28,69,24,0.06
Dave Mirra Freestyle BMX 2,XB,Sports,T,76,18,81,6,0.15
Dungeon Hunter Alliance,PSV,Action,T,49,34,63,61,0.07
Forgotten Realms: Demon Stone,PS2,Action,T,71,40,67,18,0.1
Bleach: The 3rd Phantom,DS,Role-Playing,T,59,28,79,10,0.1
Untold Legends: Dark Kingdom,PS3,Role-Playing,T,58,40,71,36,0.14
Baldur's Gate: Dark Alliance,XB,Role-Playing,T,83,25,82,26,0.15
Warriors Orochi,X360,Action,T,53,27,73,13,0.17
Arcana Heart 3,PS3,Fighting,T,73,10,74,27,0.04
Armored Core 4,PS3,Simulation,T,65,36,67,25,0.09
Mana Khemia 2: Fall of Alchemy,PS2,Role-Playing,T,70,12,81,17,0.07
The Great Escape,PS2,Action,T,57,19,79,21,0.1
Big Mutha Truckers,XB,Racing,T,59,12,42,9,0.15
The King of Fighters XI,PS2,Fighting,T,75,30,84,15,0.07
Test Drive Unlimited 2,PC,Racing,T,72,19,56,253,0.05
Captain America: Super Soldier,PS3,Action,T,61,34,72,40,0.1
Dynasty Warriors: Gundam 2,X360,Action,T,49,30,69,18,0.07
Breath of Fire: Dragon Quarter,PS2,Role-Playing,T,78,28,68,35,0.09
Shiren the Wanderer,Wii,Role-Playing,T,71,21,75,5,0.08
Enchanted Arms,X360,Role-Playing,T,69,54,68,60,0.16
Final Fantasy XI,X360,Role-Playing,T,66,25,64,33,0.17
Peter Jackson's King Kong: The Official Game of the Movie,PSP,Action,T,56,10,63,22,0.16
Fighter Within,XOne,Fighting,T,23,39,29,211,0.11
Aliens versus Predator: Extinction,PS2,Strategy,T,66,17,83,30,0.09
X-Men Origins: Wolverine,PSP,Action,T,60,6,74,12,0.13
Guitar Hero Live,WiiU,Misc,T,84,4,60,36,0.12
Dynasty Warriors 8: Empires,PS4,Action,T,63,30,74,42,0.06
Majin and the Forsaken Kingdom,X360,Adventure,T,74,46,80,24,0.14
Arc Rise Fantasia,Wii,Role-Playing,T,64,26,77,43,0.12
Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,Action,T,49,16,45,7,0.15
WWE All Stars,Wii,Fighting,T,68,11,69,8,0.1
Naruto: Ninja Destiny,DS,Fighting,T,61,22,43,10,0.02
FaceBreaker,X360,Fighting,T,54,57,62,19,0.15
Injustice: Gods Among Us,WiiU,Fighting,T,82,5,78,112,0.09
Tomb Raider: Underworld,DS,Action,T,70,9,83,10,0.15
Death Jr.,PSP,Platform,T,61,40,72,21,0.17
Hulk,GC,Action,T,71,26,73,7,0.15
Transworld Surf,PS2,Sports,T,76,15,84,6,0.09
Armored Core: For Answer,PS3,Simulation,T,62,22,75,31,0.06
Street Fighter X Tekken,PSV,Fighting,T,79,25,74,66,0.1
The Legend of Heroes: Trails of Cold Steel II,PSV,Role-Playing,T,80,23,72,73,0.02
Dynasty Warriors Gundam,X360,Action,T,55,34,67,20,0.15
One Piece: Unlimited Adventure,Wii,Adventure,T,67,17,84,32,0.07
Shaun White Skateboarding,PS3,Sports,T,61,26,64,8,0.11
Robin Hood: Defender of the Crown,PS2,Strategy,T,59,18,55,5,0.09
Earth Defense Force: Insect Armageddon,X360,Shooter,T,68,40,81,45,0.1
Dance Central: Spotlight,XOne,Misc,T,74,19,69,47,0.15
La Pucelle: Tactics,PS2,Role-Playing,T,79,47,84,15,0.09
Arcania: Gothic 4,PC,Role-Playing,T,63,25,43,307,0.09
Sword Art Online: Hollow Realization,PS4,Role-Playing,T,69,32,76,52,0.06
EverQuest Online Adventures: Frontiers,PS2,Role-Playing,T,77,16,84,17,0.09
Fairy Fencer F,PS3,Role-Playing,T,65,31,73,50,0.05
Samurai Warriors: State of War,PSP,Action,T,64,30,63,8,0.07
Dragon Blade: Wrath of Fire,Wii,Action,T,51,19,74,17,0.17
Close Combat: First to Fight,XB,Shooter,T,69,46,77,10,0.14
Indiana Jones and the Emperor's Tomb,XB,Action,T,73,43,85,17,0.14
Buffy the Vampire Slayer: Chaos Bleeds,PS2,Action,T,72,27,88,47,0.09
Heavy Fire: Afghanistan,PS3,Shooter,T,39,5,32,16,0.17
Driver: San Francisco,PC,Racing,T,80,11,69,332,0.05
Amplitude,PS2,Misc,T,86,35,87,26,0.09
Disgaea DS,DS,Role-Playing,T,82,32,74,35,0.11
Gauntlet: Seven Sorrows,XB,Role-Playing,T,61,36,77,4,0.14
Bloody Roar: Primal Fury,GC,Fighting,T,75,27,84,20,0.14
WWE All Stars,PSP,Fighting,T,70,4,65,5,0.12
Cabela's Big Game Hunter 2005 Adventures,XB,Sports,T,65,5,82,6,0.13
Gauntlet: Dark Legacy,GC,Action,T,60,20,90,16,0.14
The Chronicles of Narnia: Prince Caspian,X360,Action,T,56,24,74,13,0.16
Van Helsing,XB,Action,T,63,32,75,8,0.13
SoulCalibur Legends,Wii,Action,T,52,35,56,24,0.16
Commandos 2: Men of Courage,PS2,Strategy,T,67,19,67,11,0.09
Brink,PC,Shooter,T,70,38,59,547,0.06
Trinity Universe,PS3,Role-Playing,T,62,25,71,28,0.07
You Don't Know Jack,PS3,Misc,T,82,11,72,18,0.16
Twisted Metal: Small Brawl,PS,Action,T,51,14,75,49,0.1
Otomedius Excellent,X360,Shooter,T,48,8,80,16,0.13
Armored Core: Last Raven,PS2,Simulation,T,59,16,88,14,0.05
K-1 World Grand Prix,PS2,Sports,T,67,24,89,7,0.04
Juiced,XB,Racing,T,68,39,90,15,0.13
UFC: Sudden Impact,PS2,Fighting,T,54,29,76,7,0.09
Full Auto 2: Battlelines,PS3,Racing,T,67,43,75,25,0.14
Dynasty Warriors: Gundam 3,X360,Action,T,65,27,77,20,0.11
WWE SmackDown vs. Raw 2009,DS,Fighting,T,58,15,77,6,0.14
Dark Souls II,PC,Role-Playing,T,91,36,70,2318,0.08
Army Men: Sarge's Heroes 2,PS2,Shooter,T,54,15,45,5,0.09
Warriors of Might and Magic,PS2,Adventure,T,49,12,44,6,0.09
Dungeon Siege III,PC,Role-Playing,T,72,37,46,399,0.08
Metal Arms: Glitch in the System,XB,Shooter,T,82,35,86,15,0.13
Toukiden Kiwami,PS4,Action,T,74,35,75,74,0.05
Trauma Team,Wii,Simulation,T,82,29,87,25,0.14
MDK2 Armageddon,PS2,Shooter,T,80,19,82,11,0.08
Fight Night Round 2,GC,Fighting,T,87,32,78,7,0.13
X-Men: The Official Game,X360,Action,T,52,57,60,20,0.16
Goblin Commander: Unleash the Horde,PS2,Strategy,T,68,21,86,14,0.08
World Destruction League: Thunder Tanks,PS2,Action,T,65,16,58,7,0.08
The Chronicles of Narnia: Prince Caspian,PS3,Action,T,56,16,55,8,0.14
Captain America: Super Soldier,X360,Action,T,60,48,63,37,0.11
James Cameron's Dark Angel,PS2,Action,T,48,17,64,19,0.08
The Lord of the Rings: Aragorn's Quest,PS3,Action,T,58,12,59,8,0.1
FaceBreaker,PS3,Fighting,T,53,37,37,20,0.13
Star Wars: Battlefront II,PC,Shooter,T,78,23,87,431,0.02
Hellboy: The Science of Evil,PS3,Action,T,47,23,60,10,0.13
Catwoman,PS2,Action,T,46,35,68,13,0.08
World Destruction League: Thunder Tanks,PS,Action,T,35,4,11,6,0.09
Terminator 3: The Redemption,PS2,Shooter,T,68,29,79,11,0.08
Bladestorm: Nightmare,PS4,Action,T,58,33,64,21,0.08
James Bond 007: Everything or Nothing,GBA,Shooter,T,73,17,82,11,0.12
Shrek Extra Large,GC,Platform,T,36,6,55,23,0.13
Gunvalkyrie,XB,Shooter,T,73,28,72,10,0.13
Demon Gaze,PSV,Role-Playing,T,70,38,73,129,0.04
Gauntlet: Dark Legacy,XB,Action,T,54,9,88,10,0.13
Time and Eternity,PS3,Role-Playing,T,42,40,49,78,0.06
Lost Kingdoms,GC,Role-Playing,T,72,22,79,15,0.1
Pursuit Force: Extreme Justice,PSP,Action,T,73,44,75,11,0.07
Ridge Racer Unbounded,PS3,Racing,T,72,20,59,29,0.05
Green Lantern: Rise of the Manhunters,PS3,Action,T,61,12,66,17,0.09
Naval Assault: The Killing Tide,X360,Simulation,T,40,11,41,5,0.08
Sega Superstars,PS2,Misc,T,72,28,69,5,0.08
Midway Arcade Treasures,GC,Misc,T,72,11,81,5,0.13
7th Dragon III Code: VFD,3DS,Role-Playing,T,77,26,81,38,0.04
FlatOut,XB,Racing,T,71,39,81,21,0.12
Blood Bowl,X360,Sports,T,61,28,50,19,0.13
Pursuit Force,PSP,Racing,T,75,59,77,26,0.14
Driver: San Francisco,Wii,Racing,T,64,7,61,10,0.06
Dengeki Bunko Fighting Climax,PS3,Fighting,T,66,13,81,29,0.05
Robotech: Battlecry,GC,Shooter,T,74,11,83,5,0.13
Clash of the Titans,X360,Action,T,42,31,40,17,0.08
Kya: Dark Lineage,PS2,Adventure,T,69,25,88,28,0.08
Mirror's Edge Catalyst,XOne,Platform,T,72,46,43,266,0.09
Stronghold 3,PC,Strategy,T,47,29,29,350,0.06
Guilty Gear Judgment,PSP,Fighting,T,77,17,65,8,0.13
Castlevania Judgment,Wii,Fighting,T,49,33,58,56,0.12
Apache: Air Assault,X360,Simulation,T,70,26,63,31,0.12
Aliens: Infestation,DS,Action,T,76,43,81,29,0.09
El Shaddai: Ascension of the Metatron,X360,Action,T,75,44,69,47,0.07
Dynasty Warriors 4,XB,Action,T,75,18,87,18,0.12
Warriors Orochi 3,X360,Action,T,71,9,80,19,0.09
Fracture,PS3,Shooter,T,62,40,57,18,0.11
Hyperdimension Neptunia Victory,PS3,Role-Playing,T,55,19,77,94,0.05
The King of Fighters XII,PS3,Fighting,T,57,48,52,46,0.11
Dungeon Siege: Throne of Agony,PSP,Role-Playing,T,74,32,80,21,0.13
Culdcept SAGA,X360,Role-Playing,T,75,33,86,49,0.12
Eragon,DS,Action,T,63,17,75,13,0.13
FlatOut 2,PS2,Racing,T,73,44,74,27,0.08
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,Fighting,T,64,20,77,17,0.14
Heroes over Europe,PS3,Simulation,T,62,34,69,16,0.12
Field Commander,PSP,Strategy,T,77,53,77,31,0.14
Ar Nosurge: Ode to an Unborn Star,PS3,Role-Playing,T,67,23,77,49,0.05
Shaun White Skateboarding,X360,Sports,T,61,34,52,7,0.1
